epoca,split,mse_padronizado,marco_runs
153,teste,0.9309815628278034,40
154,treino,0.27346627031589343,40
154,validacao,0.8075086477875274,40
154,teste,0.9186402233066819,40
155,treino,0.28504156768339467,40
155,validacao,0.8149056321683009,40
155,teste,0.9158671669121302,40
156,treino,0.26382493310326954,40
156,validacao,0.8269551718003473,40
156,teste,0.9066435268334309,40
157,treino,0.28098801929953243,40
157,validacao,0.8558346689828714,40
157,teste,0.9327713552101796,40
158,treino,0.266504894099267,40
158,validacao,0.8321180763527481,40
158,teste,0.9368738424031863,40
159,treino,0.2737183396909764,40
159,validacao,0.8134617569717156,40
159,teste,0.9212857898992364,40
160,treino,0.2726785323433322,40
160,validacao,0.8278067557543706,40
160,teste,0.9223942102897594,40
161,treino,0.25979298919948496,40
161,validacao,0.8406959784737239,40
161,teste,0.9227050050500365,40
162,treino,0.2753033400351068,40
162,validacao,0.8591793119588425,40
162,teste,0.942972641342303,40
163,treino,0.2588118085788888,40
163,validacao,0.836620234829064,40
163,teste,0.9404849255288762,40
164,treino,0.27158265484577265,40
164,validacao,0.8220831760587889,40
164,teste,0.9341506971261889,40
165,treino,0.2595693798817229,40
165,validacao,0.8396999198028164,40
165,teste,0.9221914739158702,40
166,treino,0.25886447784505756,40
166,validacao,0.8583347358378098,40
166,teste,0.9374992689678202,40
167,treino,0.26384915533959946,40
167,validacao,0.8619492871422603,40
167,teste,0.9502750932927673,40
168,treino,0.2540528358735293,40
168,validacao,0.8358722744961145,40
168,teste,0.9357123314750639,40
169,treino,0.264438168943778,40
169,validacao,0.8366328105900518,40
169,teste,0.9389813871495241,40
170,treino,0.2514004825632468,40
170,validacao,0.848083721954732,40
170,teste,0.9285012965404916,40
171,treino,0.25644526826332187,40
171,validacao,0.8693039751501641,40
171,teste,0.9456781296940197,40
172,treino,0.25583542691859745,40
172,validacao,0.86665144392388,40
172,teste,0.9576516849570166,40
173,treino,0.2500232461512233,40
173,validacao,0.8419155405062503,40
173,teste,0.9430741535686217,40
174,treino,0.25948566845409177,40
174,validacao,0.8455324232014084,40
174,teste,0.9374311376582257,40
175,treino,0.2464070613791498,40
175,validacao,0.8552744544177514,40
175,teste,0.9377647597361441,40
176,treino,0.25488229467806284,40
176,validacao,0.8767911730509027,40
176,teste,0.9500807796996017,40
177,treino,0.25174581903973503,40
177,validacao,0.8687524542296047,40
177,teste,0.9615718466782989,40
178,treino,0.24973352215862613,40
178,validacao,0.8527227728199901,40
178,teste,0.9519132907431839,40
179,treino,0.25593167498333586,40
179,validacao,0.8549095151379652,40
179,teste,0.9413412779419036,40
180,treino,0.24388438102798457,40
180,validacao,0.8730631454948563,40
180,teste,0.9463324714879633,40
181,treino,0.2542867500427075,40
181,validacao,0.8858934752261357,40
181,teste,0.9608768569578413,40
182,treino,0.25047073483404664,40
182,validacao,0.8771366246993503,40
182,teste,0.9690077037324744,40
183,treino,0.24995525176695677,40
183,validacao,0.8624379283283226,40
183,teste,0.9517974288510039,40
184,treino,0.2571279296239279,40
184,validacao,0.8602185041487753,40
