alvo_delta,feature,grupo,importancia,importancia_pct,ranking_no_alvo
delta_depth_p10_m,flow_vec_radial_mean,Optical flow e risco,0.00983371026813984,0.9833710268139839,40
delta_depth_p10_m,flow_vec_rel_std,Optical flow e risco,0.012979093007743359,1.2979093007743359,34
delta_depth_p10_m,flow_vec_risk_mean,Optical flow e risco,0.008596356958150864,0.8596356958150864,42
delta_depth_p10_m,flow_vec_xy_mean,Optical flow e risco,0.014753259718418121,1.4753259718418121,29
delta_depth_p10_m,gyro_x_integral_rad,IMU e atitude,0.03795748110860586,3.795748110860586,4
delta_depth_p10_m,gyro_y_integral_rad,IMU e atitude,0.06724678166210651,6.724678166210651,2
delta_depth_p10_m,gyro_z_integral_rad,IMU e atitude,0.027049515396356583,2.7049515396356583,12
delta_depth_p10_m,img_delta_abs_mean,Diferenca de imagem,0.007294880226254463,0.7294880226254463,44
delta_depth_p10_m,img_delta_abs_p90,Diferenca de imagem,0.013976083137094975,1.3976083137094975,31
delta_depth_p10_m,img_delta_mean,Diferenca de imagem,0.012357784435153008,1.2357784435153008,37
delta_depth_p10_m,img_delta_std,Diferenca de imagem,0.03606931120157242,3.606931120157242,6
delta_depth_p10_m,pan_comp_delta_rad,Comandos reativos,0.02867973130196333,2.867973130196333,10
delta_depth_p10_m,point_risk_mean_delta_basis,Optical flow e risco,0.0103036193177104,1.03036193177104,39
delta_depth_p10_m,point_risk_p75_delta_basis,Optical flow e risco,0.023804107680916786,2.3804107680916786,16
delta_depth_p10_m,radial_flow_mean_px,Optical flow e risco,0.013652186840772629,1.3652186840772629,33
delta_depth_p10_m,radial_flow_p90_px,Optical flow e risco,0.019103286787867546,1.9103286787867546,21
delta_depth_p50_m,delta_accel_x_m_s2,IMU e atitude,0.026164084672927856,2.6164084672927856,11
delta_depth_p50_m,delta_accel_y_m_s2,IMU e atitude,0.022971348837018013,2.2971348837018013,13
delta_depth_p50_m,delta_accel_z_m_s2,IMU e atitude,0.015632331371307373,1.5632331371307373,28
delta_depth_p50_m,delta_avoid_brake,Comandos reativos,0.00956702046096325,0.9567020460963249,44
delta_depth_p50_m,delta_avoid_lateral_body,Comandos reativos,0.021318038925528526,2.1318038925528526,17
delta_depth_p50_m,delta_gyro_x_rad_s,IMU e atitude,0.014621997252106667,1.4621997252106667,33
delta_depth_p50_m,delta_gyro_y_rad_s,IMU e atitude,0.028113966807723045,2.8113966807723045,10
delta_depth_p50_m,delta_gyro_z_rad_s,IMU e atitude,0.00960183423012495,0.960183423012495,43
delta_depth_p50_m,delta_obstacle_risk,Comandos reativos,0.009783422574400902,0.9783422574400902,42
delta_depth_p50_m,delta_pitch_rad,IMU e atitude,0.09457493666559458,9.457493666559458,1
delta_depth_p50_m,delta_roll_rad,IMU e atitude,0.029698136262595654,2.9698136262595654,9
delta_depth_p50_m,delta_smooth_vx_m_s,Movimento,0.017444729804992676,1.7444729804992676,26
delta_depth_p50_m,delta_smooth_vy_m_s,Movimento,0.018777921795845032,1.8777921795845032,23
delta_depth_p50_m,delta_x_m,Movimento,0.020955124869942665,2.0955124869942665,19
delta_depth_p50_m,delta_y_m,Movimento,0.01574958860874176,1.574958860874176,27
delta_depth_p50_m,delta_yaw_attitude_rad,IMU e atitude,0.02222823165357113,2.222823165357113,16
delta_depth_p50_m,delta_yaw_heading_rad,IMU e atitude,0.03103305585682392,3.103305585682392,7
delta_depth_p50_m,delta_z_m,Movimento,0.024356655776500702,2.43566557765007,12
delta_depth_p50_m,depth_age_s,Sincronizacao,0.02238074690103531,2.238074690103531,15
delta_depth_p50_m,depth_dt_s,Sincronizacao,0.03389579430222511,3.3895794302225113,5
delta_depth_p50_m,dt_s,Sincronizacao,0.02242671325802803,2.242671325802803,14
delta_depth_p50_m,flow_active_points,Optical flow e risco,0.01946919783949852,1.946919783949852,21
delta_depth_p50_m,flow_mag_mean_px,Optical flow e risco,0.015609736554324627,1.5609736554324627,29
delta_depth_p50_m,flow_mag_p90_px,Optical flow e risco,0.01770012639462948,1.7700126394629478,25
delta_depth_p50_m,flow_mean_x_px,Optical flow e risco,0.01894712634384632,1.894712634384632,22
delta_depth_p50_m,flow_mean_y_px,Optical flow e risco,0.030830159783363342,3.0830159783363342,8
delta_depth_p50_m,flow_track_retention_pct,Optical flow e risco,0.015502866357564926,1.5502866357564926,30
delta_depth_p50_m,flow_valid_points,Optical flow e risco,0.02036835439503193,2.036835439503193,20
delta_depth_p50_m,flow_vec_radial_mean,Optical flow e risco,0.009997614659368992,0.9997614659368992,41
delta_depth_p50_m,flow_vec_rel_std,Optical flow e risco,0.011491240002214909,1.1491240002214909,40
delta_depth_p50_m,flow_vec_risk_mean,Optical flow e risco,0.014926087111234665,1.4926087111234665,31
delta_depth_p50_m,flow_vec_xy_mean,Optical flow e risco,0.01194000244140625,1.194000244140625,38
delta_depth_p50_m,gyro_x_integral_rad,IMU e atitude,0.033353373408317566,3.3353373408317566,6
delta_depth_p50_m,gyro_y_integral_rad,IMU e atitude,0.07558645121753216,7.558645121753216,2
delta_depth_p50_m,gyro_z_integral_rad,IMU e atitude,0.021191169507801533,2.1191169507801533,18
delta_depth_p50_m,img_delta_abs_mean,Diferenca de imagem,0.01317078061401844,1.317078061401844,36
delta_depth_p50_m,img_delta_abs_p90,Diferenca de imagem,0.014486386440694332,1.4486386440694332,34
delta_depth_p50_m,img_delta_mean,Diferenca de imagem,0.014881053008139133,1.4881053008139133,32
delta_depth_p50_m,img_delta_std,Diferenca de imagem,0.03489340469241142,3.4893404692411423,4
delta_depth_p50_m,pan_comp_delta_rad,Comandos reativos,0.03892510663717985,3.892510663717985,3
delta_depth_p50_m,point_risk_mean_delta_basis,Optical flow e risco,0.013416079804301262,1.3416079804301262,35
delta_depth_p50_m,point_risk_p75_delta_basis,Optical flow e risco,0.018012287095189095,1.8012287095189095,24
delta_depth_p50_m,radial_flow_mean_px,Optical flow e risco,0.0115952268242836,1.15952268242836,39
delta_depth_p50_m,radial_flow_p90_px,Optical flow e risco,0.012410448864102364,1.2410448864102364,37
delta_depth_p90_m,delta_accel_x_m_s2,IMU e atitude,0.02767561748623848,2.767561748623848,9
delta_depth_p90_m,delta_accel_y_m_s2,IMU e atitude,0.041296932846307755,4.1296932846307755,5
delta_depth_p90_m,delta_accel_z_m_s2,IMU e atitude,0.01625341735780239,1.625341735780239,31
delta_depth_p90_m,delta_avoid_brake,Comandos reativos,0.014085746370255947,1.4085746370255947,37
delta_depth_p90_m,delta_avoid_lateral_body,Comandos reativos,0.023321321234107018,2.3321321234107018,13
delta_depth_p90_m,delta_gyro_x_rad_s,IMU e atitude,0.016611171886324883,1.6611171886324883,30
delta_depth_p90_m,delta_gyro_y_rad_s,IMU e atitude,0.028970127925276756,2.8970127925276756,8
delta_depth_p90_m,delta_gyro_z_rad_s,IMU e atitude,0.01754443161189556,1.7544431611895561,24
delta_depth_p90_m,delta_obstacle_risk,Comandos reativos,0.011412860825657845,1.1412860825657845,41
delta_depth_p90_m,delta_pitch_rad,IMU e atitude,0.06632044352591038,6.632044352591038,1
delta_depth_p90_m,delta_roll_rad,IMU e atitude,0.049178268760442734,4.917826876044273,3
delta_depth_p90_m,delta_smooth_vx_m_s,Movimento,0.014886482618749142,1.4886482618749142,35
delta_depth_p90_m,delta_smooth_vy_m_s,Movimento,0.015005705878138542,1.5005705878138542,34
delta_depth_p90_m,delta_x_m,Movimento,0.017428847029805183,1.7428847029805183,25
delta_depth_p90_m,delta_y_m,Movimento,0.01682724989950657,1.682724989950657,29
delta_depth_p90_m,delta_yaw_attitude_rad,IMU e atitude,0.027156777679920197,2.7156777679920197,10
delta_depth_p90_m,delta_yaw_heading_rad,IMU e atitude,0.02372857555747032,2.372857555747032,12
delta_depth_p90_m,delta_z_m,Movimento,0.021732866764068604,2.1732866764068604,16
delta_depth_p90_m,depth_age_s,Sincronizacao,0.019470252096652985,1.9470252096652985,20
delta_depth_p90_m,depth_dt_s,Sincronizacao,0.022207289934158325,2.2207289934158325,14
delta_depth_p90_m,dt_s,Sincronizacao,0.017247425392270088,1.7247425392270088,27
delta_depth_p90_m,flow_active_points,Optical flow e risco,0.017373640090227127,1.7373640090227127,26
delta_depth_p90_m,flow_mag_mean_px,Optical flow e risco,0.01595783792436123,1.595783792436123,32
delta_depth_p90_m,flow_mag_p90_px,Optical flow e risco,0.01784302294254303,1.784302294254303,23
delta_depth_p90_m,flow_mean_x_px,Optical flow e risco,0.015365438535809517,1.5365438535809517,33
delta_depth_p90_m,flow_mean_y_px,Optical flow e risco,0.019194630905985832,1.9194630905985832,21
delta_depth_p90_m,flow_track_retention_pct,Optical flow e risco,0.020607346668839455,2.0607346668839455,18
delta_depth_p90_m,flow_valid_points,Optical flow e risco,0.014643446542322636,1.4643446542322636,36
delta_depth_p90_m,flow_vec_radial_mean,Optical flow e risco,0.016957243904471397,1.6957243904471397,28
delta_depth_p90_m,flow_vec_rel_std,Optical flow e risco,0.009765159338712692,0.9765159338712692,44
delta_depth_p90_m,flow_vec_risk_mean,Optical flow e risco,0.010976680554449558,1.0976680554449558,43
delta_depth_p90_m,flow_vec_xy_mean,Optical flow e risco,0.013454163447022438,1.3454163447022438,39
delta_depth_p90_m,gyro_x_integral_rad,IMU e atitude,0.04730447940528393,4.730447940528393,4
delta_depth_p90_m,gyro_y_integral_rad,IMU e atitude,0.052322628907859325,5.2322628907859325,2
delta_depth_p90_m,gyro_z_integral_rad,IMU e atitude,0.03738037683069706,3.738037683069706,6
delta_depth_p90_m,img_delta_abs_mean,Diferenca de imagem,0.011393789201974869,1.1393789201974869,42
delta_depth_p90_m,img_delta_abs_p90,Diferenca de imagem,0.021871840581297874,2.1871840581297874,15
delta_depth_p90_m,img_delta_mean,Diferenca de imagem,0.0200624018907547,2.00624018907547,19
delta_depth_p90_m,img_delta_std,Diferenca de imagem,0.021564140915870667,2.1564140915870667,17
delta_depth_p90_m,pan_comp_delta_rad,Comandos reativos,0.03674692660570145,3.6746926605701447,7
delta_depth_p90_m,point_risk_mean_delta_basis,Optical flow e risco,0.014011925086379051,1.4011925086379051,38
delta_depth_p90_m,point_risk_p75_delta_basis,Optical flow e risco,0.025996848940849304,2.5996848940849304,11
delta_depth_p90_m,radial_flow_mean_px,Optical flow e risco,0.012183470651507378,1.2183470651507378,40
delta_depth_p90_m,radial_flow_p90_px,Optical flow e risco,0.018660882487893105,1.8660882487893105,22
