alvo_delta,feature,grupo,importancia,importancia_pct,ranking_no_alvo,representacao_angular
delta_depth_p90_m,delta_accel_z_m_s2,IMU e atitude,0.01625341735780239,1.625341735780239,32,seno/cosseno
delta_depth_p90_m,delta_smooth_vx_m_s,Movimento,0.014886482618749142,1.4886482618749142,38,seno/cosseno
delta_depth_p90_m,delta_smooth_vy_m_s,Movimento,0.015005705878138542,1.5005705878138542,37,seno/cosseno
delta_depth_p90_m,delta_obstacle_risk,Comandos reativos,0.011412860825657845,1.1412860825657845,47,seno/cosseno
delta_depth_p90_m,delta_avoid_lateral_body,Comandos reativos,0.023321321234107018,2.3321321234107018,10,seno/cosseno
delta_depth_p90_m,delta_avoid_brake,Comandos reativos,0.014085746370255947,1.4085746370255947,41,seno/cosseno
delta_depth_p90_m,flow_valid_points,Optical flow e risco,0.014643446542322636,1.4643446542322636,39,seno/cosseno
delta_depth_p90_m,flow_active_points,Optical flow e risco,0.017373640090227127,1.7373640090227127,26,seno/cosseno
delta_depth_p90_m,flow_track_retention_pct,Optical flow e risco,0.020607346668839455,2.0607346668839455,17,seno/cosseno
delta_depth_p90_m,flow_mean_x_px,Optical flow e risco,0.015365438535809517,1.5365438535809517,36,seno/cosseno
delta_depth_p90_m,flow_mean_y_px,Optical flow e risco,0.019194630905985832,1.9194630905985832,20,seno/cosseno
delta_depth_p90_m,flow_mag_mean_px,Optical flow e risco,0.01595783792436123,1.595783792436123,33,seno/cosseno
delta_depth_p90_m,flow_mag_p90_px,Optical flow e risco,0.01784302294254303,1.784302294254303,23,seno/cosseno
delta_depth_p90_m,radial_flow_mean_px,Optical flow e risco,0.012183470651507378,1.2183470651507378,45,seno/cosseno
delta_depth_p90_m,radial_flow_p90_px,Optical flow e risco,0.018660882487893105,1.8660882487893105,21,seno/cosseno
delta_depth_p90_m,point_risk_mean_delta_basis,Optical flow e risco,0.014011925086379051,1.4011925086379051,42,seno/cosseno
delta_depth_p90_m,point_risk_p75_delta_basis,Optical flow e risco,0.025996848940849304,2.5996848940849304,9,seno/cosseno
delta_depth_p90_m,img_delta_mean,Diferenca de imagem,0.0200624018907547,2.00624018907547,18,seno/cosseno
delta_depth_p90_m,img_delta_std,Diferenca de imagem,0.021564140915870667,2.1564140915870667,15,seno/cosseno
delta_depth_p90_m,img_delta_abs_mean,Diferenca de imagem,0.011393789201974869,1.1393789201974869,48,seno/cosseno
delta_depth_p90_m,img_delta_abs_p90,Diferenca de imagem,0.021871840581297874,2.1871840581297874,12,seno/cosseno
delta_depth_p90_m,flow_vec_rel_std,Optical flow e risco,0.009765159338712692,0.9765159338712692,50,seno/cosseno
delta_depth_p90_m,flow_vec_xy_mean,Optical flow e risco,0.013454163447022438,1.3454163447022438,43,seno/cosseno
delta_depth_p90_m,flow_vec_radial_mean,Optical flow e risco,0.016957243904471397,1.6957243904471397,28,seno/cosseno
delta_depth_p90_m,flow_vec_risk_mean,Optical flow e risco,0.010976680554449558,1.0976680554449558,49,seno/cosseno
delta_depth_p90_m,delta_roll_rad_sin,IMU e atitude,0.032415036112070084,3.2415036112070084,4,seno/cosseno
delta_depth_p90_m,delta_roll_rad_cos,IMU e atitude,0.01676323264837265,1.676323264837265,30,seno/cosseno
delta_depth_p90_m,delta_pitch_rad_sin,IMU e atitude,0.048068463802337646,4.806846380233765,1,seno/cosseno
delta_depth_p90_m,delta_pitch_rad_cos,IMU e atitude,0.01825197972357273,1.825197972357273,22,seno/cosseno
delta_depth_p90_m,delta_yaw_heading_rad_sin,IMU e atitude,0.014427733607590199,1.4427733607590199,40,seno/cosseno
delta_depth_p90_m,delta_yaw_heading_rad_cos,IMU e atitude,0.009300841949880123,0.9300841949880123,51,seno/cosseno
delta_depth_p90_m,delta_yaw_attitude_rad_sin,IMU e atitude,0.015485787764191628,1.5485787764191628,35,seno/cosseno
delta_depth_p90_m,delta_yaw_attitude_rad_cos,IMU e atitude,0.011670989915728569,1.167098991572857,46,seno/cosseno
delta_depth_p90_m,gyro_x_integral_rad_sin,IMU e atitude,0.020929334685206413,2.0929334685206413,16,seno/cosseno
