modelo,split,alvo_delta,MAE,RMSE,corr,configuracao,grupo_removido,n_features,semente,melhor_epoca,MAE_referencia,delta_MAE,delta_MAE_pct
MLP,validacao,delta_depth_close_10m_pp,0.8542835505981416,1.1848480130601744,0.5763774475099507,Sem Diferenca de imagem,Diferenca de imagem,48,42,36,0.8463452151436393,0.007938335454502399,0.9379547863521775
MLP,teste,delta_depth_p10_m,0.0908455239700507,0.23320026626501952,0.1927309482121758,Sem Diferenca de imagem,Diferenca de imagem,48,42,36,0.09632765321739462,-0.0054821292473439115,-5.6911271729746264
MLP,teste,delta_depth_p50_m,0.18473950078948698,0.27385655945273485,0.11562248898634324,Sem Diferenca de imagem,Diferenca de imagem,48,42,36,0.185302600462703,-0.0005630996732160221,-0.3038811499730467
MLP,teste,delta_depth_p90_m,0.8753208924156732,1.5346375799801302,0.09282174825588446,Sem Diferenca de imagem,Diferenca de imagem,48,42,36,0.923135912076798,-0.04781501966112478,-5.179629460363462
MLP,teste,delta_depth_close_2m_pp,1.1194403364082819,1.7034400699106573,0.05154428904215658,Sem Diferenca de imagem,Diferenca de imagem,48,42,36,1.0490709682790305,0.07036936812925143,6.707779574216058
MLP,teste,delta_depth_close_5m_pp,1.7612660064769443,2.7918462689892487,0.2438256977894364,Sem Diferenca de imagem,Diferenca de imagem,48,42,36,1.8219351858622643,-0.060669179385320016,-3.3299307163117997
MLP,teste,delta_depth_close_10m_pp,0.828888486236231,1.1279392271742494,0.4551728007170805,Sem Diferenca de imagem,Diferenca de imagem,48,42,36,0.8544717183210602,-0.025583232084829155,-2.994040825025467
MLP,validacao,delta_depth_p10_m,0.06234699538908832,0.09154904307662586,0.34041565300008164,Sem Diferenca de imagem,Diferenca de imagem,48,84,20,0.06367303980569178,-0.0013260444166034585,-2.082583807291265
MLP,validacao,delta_depth_p50_m,0.20141742775107133,0.28780517076852824,0.4476965688113476,Sem Diferenca de imagem,Diferenca de imagem,48,84,20,0.2013256567365983,9.177101447302438e-05,0.04558336774387963
MLP,validacao,delta_depth_p90_m,1.1261263184690025,3.1834798914855527,0.374213532735286,Sem Diferenca de imagem,Diferenca de imagem,48,84,20,1.1526313451175905,-0.026505026648588004,-2.2995233264182993
