modelo,split,alvo_delta,MAE,RMSE,corr,marco_runs,estrategia_split
MLP,validacao,delta_depth_close_10m_pp,0.8748997301201384,1.1842672080975667,0.5803623257199446,33,validacao_teste_fixos
Media treino,validacao,delta_depth_p10_m,0.06382775185892943,0.09565869416964398,,33,validacao_teste_fixos
Media treino,validacao,delta_depth_p50_m,0.21994807688603762,0.31470991599789944,,33,validacao_teste_fixos
Media treino,validacao,delta_depth_p90_m,1.1493551104117585,3.2927343907273463,,33,validacao_teste_fixos
Media treino,validacao,delta_depth_close_2m_pp,1.2107301322610882,1.9824050301727287,,33,validacao_teste_fixos
Media treino,validacao,delta_depth_close_5m_pp,1.5541190798256086,2.0808156537875715,,33,validacao_teste_fixos
Media treino,validacao,delta_depth_close_10m_pp,0.9530606498665738,1.3363905686611024,,33,validacao_teste_fixos
MLP,teste,delta_depth_p10_m,0.09015887888133747,0.22976827918789725,0.2598091474292529,33,validacao_teste_fixos
MLP,teste,delta_depth_p50_m,0.1806357638870782,0.27190434108147343,0.08634947373061976,33,validacao_teste_fixos
MLP,teste,delta_depth_p90_m,0.9395709630941596,1.614727287664961,-0.1533669072569468,33,validacao_teste_fixos
MLP,teste,delta_depth_close_2m_pp,1.0768890254771675,1.6281114242149939,0.19046609720792024,33,validacao_teste_fixos
MLP,teste,delta_depth_close_5m_pp,1.8280091382974284,2.832204412509546,0.19842549110626986,33,validacao_teste_fixos
MLP,teste,delta_depth_close_10m_pp,0.8522589428660254,1.1691022774948794,0.30507426915032826,33,validacao_teste_fixos
Media treino,teste,delta_depth_p10_m,0.0872172237532946,0.237658101846291,,33,validacao_teste_fixos
Media treino,teste,delta_depth_p50_m,0.19026682995677688,0.2717632282298394,,33,validacao_teste_fixos
Media treino,teste,delta_depth_p90_m,0.829566784324363,1.5199674590068504,,33,validacao_teste_fixos
Media treino,teste,delta_depth_close_2m_pp,1.082595368689386,1.6106030763623564,,33,validacao_teste_fixos
Media treino,teste,delta_depth_close_5m_pp,1.8546725626023284,2.8817454473949007,,33,validacao_teste_fixos
Media treino,teste,delta_depth_close_10m_pp,0.9141977443998555,1.2357912566239657,,33,validacao_teste_fixos
MLP,treino,delta_depth_p10_m,0.09619296096860913,0.2485924397581653,0.4307350911777067,40,validacao_teste_fixos
MLP,treino,delta_depth_p50_m,0.2033443913914228,0.32517656247892024,0.5112255191512849,40,validacao_teste_fixos
MLP,treino,delta_depth_p90_m,1.248511003027852,2.728267330770593,0.2969868561180404,40,validacao_teste_fixos
MLP,treino,delta_depth_close_2m_pp,1.4503809330944915,2.7816261827174156,0.40071983742103723,40,validacao_teste_fixos
MLP,treino,delta_depth_close_5m_pp,1.5685011287703647,2.6472886768412978,0.5726453849699293,40,validacao_teste_fixos
MLP,treino,delta_depth_close_10m_pp,0.958678951544694,1.4560753535973032,0.4797820004798691,40,validacao_teste_fixos
Media treino,treino,delta_depth_p10_m,0.10878783309665692,0.2741963051368558,,40,validacao_teste_fixos
Media treino,treino,delta_depth_p50_m,0.235209949046935,0.3736110030010934,,40,validacao_teste_fixos
Media treino,treino,delta_depth_p90_m,1.2581176607550417,2.825642036229837,,40,validacao_teste_fixos
Media treino,treino,delta_depth_close_2m_pp,1.6450261281042728,3.0160955037330472,,40,validacao_teste_fixos
Media treino,treino,delta_depth_close_5m_pp,1.8879809662069416,3.194924939620601,,40,validacao_teste_fixos
Media treino,treino,delta_depth_close_10m_pp,1.067530444485987,1.6443353723808778,,40,validacao_teste_fixos
MLP,validacao,delta_depth_p10_m,0.0649328437337939,0.09179255455266432,0.3433370707132109,40,validacao_teste_fixos
MLP,validacao,delta_depth_p50_m,0.20624737892957296,0.2902781843267023,0.4330146606721133,40,validacao_teste_fixos
MLP,validacao,delta_depth_p90_m,1.1247563772871432,3.2799503948657853,0.07702948804934287,40,validacao_teste_fixos
MLP,validacao,delta_depth_close_2m_pp,1.1739160019181916,1.7804071650313926,0.4721549085959964,40,validacao_teste_fixos
MLP,validacao,delta_depth_close_5m_pp,1.3965164556652514,1.7942711737778096,0.5320159240254195,40,validacao_teste_fixos
MLP,validacao,delta_depth_close_10m_pp,0.8727290530700189,1.1722336436504266,0.5634212387102894,40,validacao_teste_fixos
Media treino,validacao,delta_depth_p10_m,0.06329149432640953,0.09535823476031906,,40,validacao_teste_fixos
Media treino,validacao,delta_depth_p50_m,0.21920636051921483,0.3148167399249826,,40,validacao_teste_fixos
Media treino,validacao,delta_depth_p90_m,1.147061309823706,3.2938542334521808,,40,validacao_teste_fixos
Media treino,validacao,delta_depth_close_2m_pp,1.212020714744419,1.9823752843281606,,40,validacao_teste_fixos
Media treino,validacao,delta_depth_close_5m_pp,1.5519120539856728,2.08161175174656,,40,validacao_teste_fixos
Media treino,validacao,delta_depth_close_10m_pp,0.9511296442120817,1.3367391110268585,,40,validacao_teste_fixos
MLP,teste,delta_depth_p10_m,0.08717510109108614,0.2270762721412328,0.32565411575912495,40,validacao_teste_fixos
MLP,teste,delta_depth_p50_m,0.17170638863512494,0.2685658052318639,0.11667969706807504,40,validacao_teste_fixos
MLP,teste,delta_depth_p90_m,0.8942626801980759,1.5670899888191028,-0.09427810744081547,40,validacao_teste_fixos
MLP,teste,delta_depth_close_2m_pp,1.0419262242141214,1.5703489215727517,0.26840383011077246,40,validacao_teste_fixos
MLP,teste,delta_depth_close_5m_pp,1.7180840949047396,2.749885496260914,0.2951692494157827,40,validacao_teste_fixos
MLP,teste,delta_depth_close_10m_pp,0.8400963859546229,1.1627811657766374,0.323922286605133,40,validacao_teste_fixos
Media treino,teste,delta_depth_p10_m,0.08673138326511037,0.23784213225175016,,40,validacao_teste_fixos
Media treino,teste,delta_depth_p50_m,0.18856772083277856,0.2706885481529042,,40,validacao_teste_fixos
Media treino,teste,delta_depth_p90_m,0.8245828221153356,1.5198102779253102,,40,validacao_teste_fixos
Media treino,teste,delta_depth_close_2m_pp,1.0869209374256517,1.6126941263286643,,40,validacao_teste_fixos
Media treino,teste,delta_depth_close_5m_pp,1.8488004964319722,2.8792906969054246,,40,validacao_teste_fixos
Media treino,teste,delta_depth_close_10m_pp,0.9095890408567621,1.2326396747391826,,40,validacao_teste_fixos
