timestamp,x,y,z,roll_speed,pitch_speed,yaw_speed
1776120066.633932,62.20629,-46.17482,-2.1592789,0.17788337,0.06592831,0.5171701
1776120066.641932,62.160168,-46.120438,-2.161686,0.17754108,0.060947806,0.5032646
1776120066.649932,62.1141,-46.065968,-2.1639671,0.17802149,0.055312376,0.48904923
1776120066.657932,62.0681,-46.01141,-2.1661263,0.17783676,0.05036867,0.47524822
1776120066.665932,62.021847,-45.957027,-2.1685638,0.17841054,0.046493933,0.46147764
1776120066.681932,61.929523,-45.848,-2.1730614,0.17912838,0.037405305,0.43298927
1776120066.689932,61.88345,-45.793354,-2.1751251,0.18013892,0.03336696,0.4190521
1776120066.697932,61.83712,-45.738876,-2.1774445,0.18056716,0.029104494,0.4059282
1776120066.705932,61.79085,-45.68431,-2.1796417,0.18087086,0.025778677,0.3917387
1776120066.721932,61.698483,-45.574917,-2.1836548,0.17946412,0.018705562,0.36338717
1776120066.729932,61.65238,-45.520096,-2.1854973,0.17890765,0.014637507,0.350039
1776120066.737932,61.606018,-45.465466,-2.1875954,0.18010464,0.011709109,0.3357984
1776120066.745932,61.55971,-45.41075,-2.1895676,0.17976737,0.0091954805,0.3211688
1776120066.761932,61.467255,-45.301075,-2.193142,0.18091889,0.0021506946,0.29431322
1776120066.769932,61.4208,-45.246387,-2.1951103,0.17989352,-0.0008189789,0.28018585
1776120066.777932,61.374393,-45.19162,-2.1969528,0.17938872,-0.0031031733,0.2664865
1776120066.793932,61.281742,-45.081837,-2.2002945,0.17679723,-0.006578022,0.24049284
1776120066.801932,61.235184,-45.027092,-2.2021294,0.17713203,-0.009013066,0.22734144
1776120066.809932,61.18868,-44.972267,-2.2038383,0.17777066,-0.012185911,0.2149096
1776120066.817932,61.142223,-44.91736,-2.2054253,0.1767034,-0.013883003,0.20171583
1776120066.833932,61.049145,-44.807575,-2.2085686,0.17529136,-0.018799959,0.1756119
1776120066.841932,61.00253,-44.752697,-2.2101212,0.17519382,-0.01976035,0.1638032
1776120066.849932,60.95596,-44.69774,-2.2115593,0.17567429,-0.02252575,0.15035549
1776120066.857932,60.90943,-44.642704,-2.2128754,0.17435011,-0.024508528,0.13665666
1776120066.865932,60.862648,-44.587833,-2.2143898,0.17329682,-0.025021007,0.12545846
1776120066.881932,60.769222,-44.477863,-2.2170525,0.17170216,-0.027255619,0.10253418
1776120066.889932,60.72257,-44.422764,-2.2182083,0.17087881,-0.027907493,0.09032253
1776120066.897932,60.675663,-44.367832,-2.2195587,0.16907728,-0.028654313,0.07884787
1776120066.905932,60.6288,-44.312824,-2.2207947,0.1688264,-0.030741418,0.06859537
1776120066.913932,60.581978,-44.257744,-2.2219086,0.16786543,-0.033570807,0.05791622
1776120066.929932,60.488167,-44.147606,-2.2241135,0.16667832,-0.034745056,0.03447786
1776120066.937932,60.441177,-44.092552,-2.2251968,0.16677104,-0.034180615,0.024481783
1776120066.945932,60.394226,-44.037422,-2.2261658,0.16553484,-0.03508855,0.014177487
1776120066.961932,60.300144,-43.927185,-2.2280731,0.16360794,-0.036299065,-0.004246586
1776120066.969932,60.253014,-43.872074,-2.229042,0.16314597,-0.035148688,-0.0142845735
1776120066.977932,60.205917,-43.81689,-2.2298965,0.16310737,-0.035346627,-0.023606954
1776120066.993932,60.111824,-43.70632,-2.2312698,0.16232483,-0.036748625,-0.040854212
1776120067.001932,60.064533,-43.651188,-2.2321014,0.16191785,-0.038324952,-0.049663194
1776120067.009932,60.017273,-43.59598,-2.2328262,0.16100557,-0.037997473,-0.057847876
1776120067.017932,59.970043,-43.54071,-2.2334404,0.15939207,-0.03710444,-0.06671578
1776120067.025932,59.922844,-43.48537,-2.233963,0.15748453,-0.03763313,-0.07388857
1776120067.041932,59.82795,-43.375015,-2.2352982,0.15679508,-0.03763377,-0.088814154
1776120067.049932,59.78055,-43.319736,-2.2358017,0.15563682,-0.037644118,-0.096911296
1776120067.057932,59.73317,-43.264393,-2.2362022,0.15479493,-0.036900632,-0.10421941
1776120067.065932,59.685524,-43.209236,-2.2367935,0.1547079,-0.03837369,-0.11070867
1776120067.081932,59.590313,-43.09872,-2.2376595,0.15138994,-0.03792153,-0.12319513
1776120067.089932,59.542744,-43.043365,-2.2379189,0.15111943,-0.03654176,-0.12791538
1776120067.098216,59.494896,-42.98819,-2.2383766,0.1497402,-0.03738034,-0.13421933
1776120067.106216,59.44707,-42.93295,-2.2387238,0.14899221,-0.03784095,-0.1403522
1776120067.122216,59.351494,-42.822277,-2.2391243,0.14693266,-0.036843877,-0.15024303
1776120067.130216,59.303417,-42.76707,-2.2394524,0.1466089,-0.03542964,-0.1560138
1776120067.138216,59.255363,-42.711803,-2.2396774,0.14310758,-0.034842905,-0.16014947
1776120067.146216,59.20733,-42.65647,-2.2398148,0.14246634,-0.034244083,-0.16484584
1776120067.162216,59.111004,-42.54585,-2.2400818,0.1413768,-0.033512026,-0.17187192
1776120067.170216,59.062714,-42.49056,-2.2402115,0.13955125,-0.03236388,-0.17615834
1776120067.178216,59.014442,-42.43521,-2.240242,0.13743906,-0.03192775,-0.1800275
1776120067.194216,58.917625,-42.324554,-2.2402916,0.13566269,-0.029230388,-0.1848732
1776120067.202216,58.869083,-42.269245,-2.2403107,0.13514234,-0.028521033,-0.18731256
